File(s),Type,Planned Use,Status
content/quotes/q-day5-confidence.png,Quote card,Day 5,POSTED
content/carousels/day10-resume-mistakes-1..5.png,Carousel (5),Day 10,POSTED
content/quotes/q-day12-background.png,Quote card,Day 12,POSTED
content/carousels/day16-hiring-truths-1-1..5.png,Carousel (5),Day 16,ready
content/quotes/q-day19-threatened.png,Quote card,Day 19,ready
content/carousels/day23-hidden-talent-1-1..5.png,Carousel (5),Day 23,ready
content/quotes/q-day25-jeweler.png,Quote card,Day 25,ready
content/carousels/day29-interview-answers-1..6.png,Carousel (6),Day 29,ready
content/quotes/q-day32-underpaid.png,Quote card,Day 32,ready
content/carousels/day34-salary-negotiation-1..7.png,Carousel (7),Day 34,ready
content/carousels/day37-hr-pitch-1..5.png,Carousel (5),Day 37,ready
content/quotes/q-day39-reveal.png,Quote card,Day 39,ready
content/carousels/day44-career-reality-1..5.png,Carousel (5),Day 44,ready
content/quotes/q-day46-cut.png,Quote card,Day 46,ready
content/carousels/day51-hiring-truths-2-1..5.png,Carousel (5),Day 51,ready
content/quotes/q-day53-opportunity.png,Quote card,Day 53,ready
content/carousels/day58-best-of-1..7.png,Carousel (7),Day 58,ready
launch/carousel-slide-1..5.png,Carousel (5),Day 1 launch,POSTED
launch/carousel-sq-1..5.png,Carousel (square),Launch alt,backup
launch/day2-quote-card.png,Quote card,Day 2,ready
launch/profile-photo.png,Profile photo,Profile,in use
launch/highlight-covers/(talents/employers/how/stories/faq).png,Highlight covers,Story highlights,ready
